timestamp,MSFT
1577854800,151.85006713867188
1578459600,156.23463439941406
1579064400,160.4457244873047
1579669200,159.44351196289062
1580274000,173.5704345703125
1580878800,177.73336791992188
1581483600,180.42193603515625
1582088400,161.95864868164062
1582693200,158.96109008789062
1583298000,155.49217224121094
1583899200,141.6261749267578
1584504000,143.33648681640625
1585108800,152.3904571533203
1585713600,157.97549438476562
1586318400,167.8411102294922
1586923200,162.15943908691406
1587528000,164.08233642578125
1588132800,174.66297912597656
1588737600,176.3539276123047
1589342400,177.43618774414062
1589947200,175.44564819335938
1590552000,179.1706085205078
1591156800,183.90884399414062
1591761600,187.5618438720703
1592366400,195.6429443359375
1592971200,197.19326782226562
1593576000,201.7861785888672
1594180800,201.88307189941406
1594785600,202.27064514160156
1595390400,195.7495574951172
1595995200,206.6697235107422
1596600000,197.06732177734375
1597204800,204.9255828857422
1597809600,209.75100708007812
1598414400,220.7481231689453
1599019200,196.84437561035156
1599624000,202.78872680664062
1600228800,201.4677734375
1600833600,201.31236267089844
1601438400,200.0010986328125
1602043200,216.46469116210938
1602648000,208.49026489257812
1603252800,207.13046264648438
1603857600,200.5061492919922
1604466000,204.95474243164062
1605070800,208.30575561523438
1605675600,207.72296142578125
1606280400,210.55532836914062
1606885200,210.36056518554688
1607490000,208.52975463867188
1608094800,218.08314514160156
1608699600,218.2876434326172
1609304400,212.20111083984375
1609909200,209.30877685546875
1610514000,210.77931213378906
1611118800,226.2537384033203
1611723600,233.24594116210938
1612328400,237.39454650878906
1612933200,237.3263397216797
1613538000,227.1691436767578
1614142800,228.2779998779297
1614747600,228.19015502929688
1615352400,232.02618408203125
1615953600,231.8992919921875
1616558400,226.30628967285156
1617163200,241.93348693847656
1617768000,252.309326171875
1618372800,252.0847930908203
1618977600,255.70606994628906
1619582400,241.8651580810547
1620187200,240.34246826171875
1620792000,237.26779174804688
1621396800,245.70118713378906
1622001600,242.0420684814453
1622606400,247.10015869140625
1623211200,252.76473999023438
1623816000,259.7599182128906
1624420800,265.5223388671875
1625025600,271.6467590332031
1625630400,274.8948974609375
1626235200,273.2707824707031
1626840000,280.3344421386719
1627444800,280.90191650390625
1628049600,280.23663330078125
1628654400,286.7327880859375
1629259200,296.0661926269531
1629864000,295.90765380859375
1630468800,294.24127197265625
1631073600,293.8590087890625
1631678400,288.9676818847656
1632283200,277.910888671875
1632888000,283.0472106933594
1633492800,287.085693359375
1634097600,302.1319885253906
1634702400,303.9748229980469
1635307200,326.5394287109375
1635912000,329.3035888671875
1636520400,332.79315185546875
1637125200,330.9993896484375
1637730000,324.6425476074219
1638334800,328.89459228515625
1638939600,322.4329833984375
1639544400,321.4018859863281
1640149200,335.1107177734375
1640754000,323.0909118652344
1641358800,309.3133544921875
1641963600,297.20513916015625
1642568400,283.29986572265625
1643173200,303.2052307128906
1643778000,299.080810546875
1644382800,295.06439208984375
1644987600,282.54376220703125
1645592400,290.2426452636719
1646197200,271.44744873046875
1646802000,282.5670471191406
1647403200,299.2071838378906
1648008000,310.3760681152344
1648612800,305.9183654785156
1649217600,277.5583190917969
1649822400,280.7466125488281
1650427200,265.9072570800781
1651032000,277.2828063964844
1651636800,265.19873046875
1652241600,262.5615539550781
1652846400,255.4764404296875
1653451200,268.154052734375
1654056000,268.7754211425781
1654660800,241.1483154296875
1655265600,250.27186584472656
1655870400,252.97439575195312
1656475200,259.2573547363281
1657080000,250.20281982421875
1657684800,255.98269653320312
1658289600,248.4569854736328
1658894400,271.0637512207031
1659499200,278.44146728515625
1660104000,288.709228515625
1660708800,272.6615905761719
1661313600,259.9262390136719
1661918400,250.31875610351562
1662523200,249.07333374023438
1663128000,239.64376831054688
1663732800,233.67367553710938
1664337600,245.9993438720703
1664942400,222.8009796142578
1665547200,235.73948669433594
1666152000,247.7587127685547
1666756800,225.52903747558594
1667361600,226.22093200683594
1667970000,239.1693115234375
1668574800,242.1938934326172
1669179600,238.21774291992188
1669784400,242.96563720703125
1670389200,254.6619415283203
1670994000,239.67483520507812
1671598800,234.87738037109375
1672203600,237.47433471679688
1672808400,226.83863830566406
1673413200,238.23757934570312
1674018000,239.9127197265625
1674622800,245.6320037841797
1675227600,265.20843505859375
1675832400,269.7779541015625
1676437200,250.4492645263672
1677042000,247.84707641601562
1677646800,252.5472412109375
1678251600,259.1453857421875
1678852800,272.0534362792969
1679457600,273.4943542480469
1680062400,285.36895751953125
1680667200,281.04638671875
1681272000,286.55145263671875
1681876800,273.68316650390625
1682481600,303.4839782714844
1683086400,305.06396484375
1683691200,309.7740783691406
1684296000,313.2718811035156
1684900800,329.84075927734375
1685505600,332.300537109375
1686110400,332.9080505371094
1686715200,336.6524963378906
1687320000,333.1868896484375
1687924800,336.5927429199219
1688529600,331.0955810546875
1689134400,358.00384521484375
1689739200,349.529052734375
1690344000,334.9495544433594
1690948800,324.70208740234375
1691553600,320.5293884277344
1692158400,321.126953125
1692763200,327.7447814941406
1693368000,332.8743591308594
1693972800,331.09796142578125
1694577600,327.9842834472656
1695182400,311.50775146484375
1695787200,312.7552185058594
1696392000,327.724853515625
1696996800,331.38739013671875
1697601600,329.8605041503906
1698206400,339.97998046875
